sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_overlap,13,recovery,Enrgy,38,True,0.084848,0.122354,0.193744,-0.242915,0.292005,0.7368
revised_overlap,13,recovery,Chems,38,True,-0.026954,-0.027587,0.054633,-0.105823,0.037629,0.3947
revised_overlap,13,recovery,BusEq,38,True,-0.005344,-0.003416,0.028287,-0.042323,0.03106,0.4211
revised_overlap,13,recovery,Telcm,38,True,-0.021517,-0.017002,0.030054,-0.057433,0.012398,0.2632
revised_overlap,13,recovery,Utils,38,True,-0.043058,-0.033884,0.059751,-0.132317,0.021983,0.2895
revised_overlap,13,recovery,Shops,38,True,-0.030787,-0.026377,0.042873,-0.087479,0.021417,0.3158
revised_overlap,13,recovery,Hlth,38,True,-0.040397,-0.042115,0.028336,-0.076676,-0.001509,0.0789
revised_overlap,13,recovery,Money,38,True,0.0498,0.048134,0.055203,-0.029966,0.1235,0.7632
revised_overlap,13,recovery,Other,38,True,0.028906,0.033081,0.024711,0.000753,0.060318,0.9211
revised_overlap,13,expansion,NoDur,254,True,-0.010903,-0.016719,0.055926,-0.077001,0.060258,0.3622
revised_overlap,13,expansion,Durbl,254,True,-0.023864,-0.014801,0.110421,-0.12693,0.062361,0.4291
revised_overlap,13,expansion,Manuf,254,True,0.003682,0.000658,0.040506,-0.041425,0.043233,0.5
revised_overlap,13,expansion,Enrgy,254,True,-0.017389,-0.034574,0.125407,-0.139754,0.125914,0.3071
revised_overlap,13,expansion,Chems,254,True,-0.015904,-0.012541,0.044587,-0.07337,0.039585,0.3661
revised_overlap,13,expansion,BusEq,254,True,0.0133,0.012192,0.039338,-0.038271,0.061002,0.6457
revised_overlap,13,expansion,Telcm,254,True,-0.016679,-0.012678,0.064593,-0.090832,0.056335,0.4055
revised_overlap,13,expansion,Utils,254,True,-0.006554,-0.013657,0.068333,-0.084679,0.088756,0.437
revised_overlap,13,expansion,Shops,254,True,-0.003871,-0.007042,0.038126,-0.049985,0.048174,0.4252
revised_overlap,13,expansion,Hlth,254,True,0.008425,0.015468,0.049976,-0.060564,0.06545,0.622
revised_overlap,13,expansion,Money,254,True,0.006642,0.001081,0.04368,-0.036213,0.047736,0.5197
revised_overlap,13,expansion,Other,254,True,-0.005132,-0.004256,0.033191,-0.045809,0.042853,0.3937
revised_overlap,13,slowdown,NoDur,349,True,-0.017538,-0.019175,0.060388,-0.090591,0.065452,0.3553
revised_overlap,13,slowdown,Durbl,349,True,0.014586,-0.01301,0.135652,-0.107407,0.191163,0.4011
